OBJECTID,poly_IncidentName,poly_FeatureCategory,poly_MapMethod,poly_GISAcres,poly_CreateDate,poly_DateCurrent,poly_PolygonDateTime,poly_Acres_AutoCalc,poly_GlobalID,poly_Source,irwin_ABCDMisc,irwin_ADSPermissionState,irwin_CalculatedAcres,irwin_ContainmentDateTime,irwin_ControlDateTime,irwin_DailyAcres,irwin_DiscoveryAcres,irwin_DispatchCenterID,irwin_EstimatedCostToDate,irwin_FFReportApprovedByTitle,irwin_FFReportApprovedByUnit,irwin_FFReportApprovedDate,irwin_FireBehaviorGeneral,irwin_FireBehaviorGeneral1,irwin_FireBehaviorGeneral2,irwin_FireBehaviorGeneral3,irwin_FireCause,irwin_FireCauseGeneral,irwin_FireCauseSpecific,irwin_FireCode,irwin_FireDepartmentID,irwin_FireDiscoveryDateTime,irwin_FireMgmtComplexity,irwin_FireOutDateTime,irwin_FSConfinePercent,irwin_FSFullSuppPercent,irwin_FSMonitorPercent,irwin_FSPointZonePercent,irwin_FSJobCode,irwin_FSOverrideCode,irwin_GACC,irwin_ICS209ReportDateTime,irwin_ICS209RForTimePeriodFrom,irwin_ICS209RForTimePeriodTo,irwin_ICS209ReportStatus,irwin_IncidentManagementOrg,irwin_IncidentName,irwin_IncidentShortDescription,irwin_IncidentTypeCategory,irwin_IncidentTypeKind,irwin_InitialLatitude,irwin_InitialLongitude,irwin_InitialResponseAcres,irwin_InitialResponseDateTime,irwin_IrwinID,irwin_IsFireCauseInvestigated,irwin_IsFireCodeRequested,irwin_IsFSAssisted,irwin_IsMultiJurisdictional,irwin_IsReimbursable,irwin_IsTrespass,irwin_IsUnifiedCommand,irwin_LocalIncidentIdentifier,irwin_PercentContained,irwin_PercentPerToBeContained,irwin_POOCity,irwin_POOCounty,irwin_POODispatchCenterID,irwin_POOFips,irwin_POOJurisdictionalAgency,irwin_POOJurisdictionalUnit,irwin_POOJurisdUnitParentUnit,irwin_POOLandownerCategory,irwin_POOLandownerKind,irwin_POOLegalDescPrinMeridian,irwin_POOLegalDescQtr,irwin_POOLegalDescQtrQtr,irwin_POOLegalDescRange,irwin_POOLegalDescSection,irwin_POOLegalDescTownship,irwin_POOPredServiceAreaID,irwin_POOProtectingAgency,irwin_POOProtectingUnit,irwin_POOState,irwin_PredominantFuelGroup,irwin_PredominantFuelModel,irwin_PrimaryFuelModel,irwin_SecondaryFuelModel,irwin_TotalIncidentPersonnel,irwin_UniqueFireIdentifier,irwin_WFDSSDecisionStatus,irwin_CreatedBySystem,irwin_ModifiedBySystem,irwin_IsDispatchComplete,irwin_OrganizationalAssessment,irwin_StratDecisionPublishDate,irwin_GlobalID,irwin_Source,irwin_ArchivedOn,irwin_ModifiedOnDateTime_dt,irwin_CreatedOnDateTime_dt,GlobalID,irwin_IsCpxChild,irwin_CpxName,irwin_CpxID,SHAPE_Length,SHAPE_Area
16340,Hermits Peak,Wildfire Daily Fire Perimeter,Mixed Methods,341735.324709136,2022/06/19 22:53:56+00,2022/06/30 17:42:37+00,2022/06/23 21:00:00+00,341734.068067407,{72B0A4F6-AB3C-4225-A907-3A7FC10B3196},2022 NIFS,,ICS209,341423.9773,,,341735,1,NMSFC,285277547.45,,,,Minimal,Smoldering,Smoldering,Smoldering,Human,,,PJ2G,,2022/04/06 22:50:59+00,Type 2 Incident,,0,100,0,0,P3,0310,SWCC,2022/07/23 21:59:59+00,2022/07/22 23:00:00+00,2022/07/23 21:59:59+00,U,Type 2 Team,Hermits Peak,12 Miles NW of Las Vegas NM,WF,FI,0,-105.3994,,,{5037D58C-F903-4299-9112-D0CE03784B9B},,0,1,0,0,0,0,000027,93,100,,San Miguel,NMSFC,35047,USFS,NMSNF,,USFS,Federal,,,,,,,SW10,USFS,NMSNF,US-NM,,,Hardwood Litter,Timber (Litter and Understory),628,2022-NMSNF-000027,Approved Decision,wildcad,ics209,0,Type 2 Incident,2022/06/24 18:36:37+00,,IRWIN,,2022/07/23 22:07:28+00,2022/04/06 22:54:05+00,{854C5112-1F04-4B29-94A4-711FD78E0986},0,,,10.1859787939157,-0.137959621385864
16410,Cerro Pelado,Wildfire Daily Fire Perimeter,IR Image Interpretation,45604.96,2022/06/01 10:52:20+00,2022/06/01 10:52:32+00,2022/05/31 22:57:59+00,45604.8078237389,{5138B4CD-ACF6-4823-87A1-1709D99D5073},2022 NIFS,,ICS209,45604.8665,,,45605,50,NMSFC,46800000,,,,Minimal,Smoldering,Creeping,Torching,Undetermined,,,PK47,,2022/04/22 21:39:00+00,Type 5 Incident,,0,100,0,0,P3,0310,SWCC,2022/07/11 18:59:59+00,2022/07/11 14:00:00+00,2022/07/11 18:59:59+00,F,Type 5 IC,Cerro Pelado,7 Miles East of Jemez Springs,WF,FI,35.77995,-106.5907,40,,{50365AC2-F15C-4F36-8BF4-69E12105C7A7},,0,1,0,0,0,0,000049,100,100,Ponderosa NM,Sandoval,NMSFC,35043,USFS,NMSNF,,USFS,Federal,New Mexico,,,18N,9,3E,SW07,USFS,NMSNF,US-NM,,,Short Grass (1 foot),Closed Timber Litter,13,2022-NMSNF-000049,Approved Decision,wildcad,ics209,0,Type 3 Incident,2022/06/13 18:54:36+00,,IRWIN,,2022/07/11 19:44:13+00,2022/04/22 21:52:49+00,{82EF2422-7833-4BB3-864E-D36FD8DC09D2},0,,,1.46969873835558,-0.0183920632708048
16565,Black,Wildfire Daily Fire Perimeter,Mixed Methods,325135.616639766,2022/06/16 21:22:09+00,2022/06/26 23:25:40+00,,325134.427939313,{95B909C7-FCD1-498A-BA2D-033C68EBC1CB},2022 NIFS,,ICS209,325132.9497,,,325136,150,NMSDC,60000000,,,,Minimal,Smoldering,Smoldering,Smoldering,Human,,,PMX6,,2022/05/14 03:30:00+00,Type 4 Incident,,0,100,0,0,P3,0306,SWCC,2022/07/21 22:44:59+00,2022/07/19 16:30:00+00,2022/07/21 22:44:59+00,U,Type 4 IC,BLACK,"24 miles north of Mimbres, NM",WF,FI,33.203639,-108.059222,150,,{E1D21D55-9C7A-4C8D-9532-0888C740A195},,0,1,0,0,0,0,000185,90,100,Mimbres,Catron,NMSDC,35003,USFS,NMGNF,,USFS,Federal,,,,,,,SW08,USFS,NMGNF,US-NM,,,Timber (Grass and Understory),Timber (Litter and Understory),13,2022-NMGNF-000185,Approved Decision,wildcad,ics209,0,Type 4 Incident,2022/06/27 17:28:23+00,,IRWIN,,2022/07/21 22:57:30+00,2022/05/14 13:11:22+00,{2C6C5F75-7791-4B16-A315-B8ADF82F49E6},0,,,5.88822402215051,-0.127245957895663
16629,Windfall Mountain,Wildfire Daily Fire Perimeter,Mixed Methods,25.81,2022/05/23 20:03:35+00,2022/06/08 21:59:10+00,2022/05/23 12:07:00+00,25.8110370775841,{07A50681-E42F-4020-8E5C-E3BA8081D1F1},2022 NIFS,,DEFAULT,,,,25.8,0.1,AKYTDC,,,,,,,,,Natural,,,PM9D,,2022/05/20 23:28:00+00,,,,,,,PD,1522,AICC,,,,,,Windfall Mountain,,WF,FI,65.116667,-141.233367,,,{516C1902-AE4B-40EB-927B-F2988D2EC3E8},,0,1,0,0,0,,000108,,,,Southeast Fairbanks,AKYTDC,02240,ANC,AKDYN,,ANCSA,Private,,,,,,,AK02,BLM,AKUYD,US-AK,,,,,,2022-AKUYD-000108,No Decision,wildcad,wildcad,0,,,,IRWIN,,2022/07/23 02:09:27+00,2022/05/21 00:09:58+00,{571290E9-0088-4A16-BF94-EBEC8BE68383},0,,,0.0246345298300378,-1.98785067790437e-05
16926,East Fork,Wildfire Daily Fire Perimeter,Image Interpretation,165844,2022/06/11 15:29:36+00,2022/06/21 02:46:47+00,2022/06/13 01:27:00+00,166758.860230032,{186ED047-88D2-441E-9C70-55D80345399A},2022 NIFS,,DEFAULT,166759.2827,,,166760,0.1,AKGADC,6150000,,,,Minimal,Creeping,Smoldering,Backing,Natural,,,PN6K,,2022/05/31 21:57:00+00,Type 4 Incident,,24,32,0,44,PD,1522,AICC,2022/07/08 03:30:00+00,2022/07/01 03:30:00+00,2022/07/08 03:30:00+00,U,Type 5 IC,East Fork,"3.7 miles northwest of St Mary's, AK",WF,FI,62.3333,-162.5329,50,,{A67B7977-E120-4202-AECF-75BD2F2F6E6B},,0,1,0,0,0,0,000160,100,68,St. Mary's,Kusilvak,AKGADC,02158,FWS,AKYDR,,USFWS,Federal,,,,,,,AK08,BLM,AKGAD,US-AK,,,Short Grass (1 foot),Brush (2 feet),12,2022-AKGAD-000160,Approved Decision,wildcad,wildcad,0,Type 2 Incident,2022/06/10 17:51:37+00,,IRWIN,,2022/07/10 19:00:18+00,2022/05/31 22:04:38+00,{138B33BA-3D74-4A32-8B0F-96346EBC6851},0,,,5.01417821821787,-0.11642772006795
16953,Hog Butte,Wildfire Daily Fire Perimeter,Image Interpretation,206275.586368417,2022/07/15 01:20:35+00,2022/07/19 17:08:23+00,2022/07/14 21:48:00+00,206274.738088389,{3BE5FBED-ED9D-4AFE-A61F-1A9DACF5EDD2},2022 NIFS,,ICS209,206061.3732,,,206275,23,AKYTDC,585000,,,,Moderate,,Creeping,Group Torching,Natural,,,PPM5,,2022/06/05 22:42:00+00,Type 5 Incident,,0,0,0,100,PD,1522,AICC,2022/07/07 00:30:00+00,2022/07/07 00:14:59+00,2022/07/07 00:30:00+00,F,Type 5 IC,Hog Butte,"21 miles northwest of Telida, AK",WF,FI,63.98208,-153.5575,5000,,{07E6F18E-AE33-4726-8B39-452F1CABA671},,0,1,0,0,0,0,000185,50,0,,Yukon-Koyukuk,AKYTDC,02290,DNR,AKAKS,,State,Other,,,,,,,AK03S,BLM,AKTAD,US-AK,,,Timber (Grass and Understory),Short Grass (1 foot),19,2022-AKTAD-000185,Approved Decision,wildcad,ics209,0,Type 3 Incident,2022/07/09 06:04:10+00,,IRWIN,,2022/07/24 02:19:16+00,2022/06/05 22:46:34+00,{84B4844F-5976-40DB-9478-28ABA3A8A240},1,Paradise Complex,{64C0C4A7-ADA2-4997-AF9F-6CF2222E9C98},6.36263636096441,-0.15155827431917
16955,South Lime Lake,Wildfire Daily Fire Perimeter,Digitized-Image,3429.35287642583,2022/06/07 03:15:16+00,2022/07/15 02:16:10+00,2022/07/02 23:58:59+00,3429.33871045999,{1CCD1321-21F9-40C4-AC67-04A4B4A9250F},2022 NIFS,,DEFAULT,2464.107,,,3429,175,AKMSSC,0,,,,Minimal,,Smoldering,,Natural,,,PPN3,,2022/06/06 00:12:49+00,Type 5 Incident,,0,0,100,0,,,AICC,2022/06/20 02:00:00+00,2022/06/19 02:00:00+00,2022/06/20 02:00:00+00,F,Type 5 IC,South Lime Lake,100 miles south of McGrath,WF,FI,61.395017,-155.39465,,,{E1E5CBB9-2FDC-48F1-88A3-8AFD039A5A83},,0,1,,1,,0,204190,0,0,,Bethel,AKMSSC,02050,BLM,AKADD,,BLM,Federal,,,,,,,AK09,DVF,AKSWS,US-AK,,,Timber (Litter and Understory),Brush (2 feet),,2022-AKSWS-204190,Approved Decision,ifm,ics209,0,Type 4 Incident,2022/06/08 17:33:05+00,,IRWIN,,2022/07/22 00:49:13+00,2022/06/06 01:03:46+00,{6CED03DE-5215-42F5-9F88-D0E04D2B2AF7},1,Lime Complex,{7BB043EA-024C-4B0D-B357-C0A7C90B87E5},0.54052335326502,-0.00233879086482746
16956,Tatlawiksuk,Wildfire Daily Fire Perimeter,Digitized-Image,229439.375571627,2022/07/03 07:50:00+00,2022/07/13 03:32:55+00,2022/07/12 21:59:59+00,229438.427839358,{DFAD0B47-C735-4707-B020-889B4F25E160},2022 NIFS,,DEFAULT,225799.3874,,,229439,15,AKMSSC,72312,,,,Minimal,,Single Tree Torching,Group Torching,Natural,,,PPR4,,2022/06/05 07:24:50+00,Type 5 Incident,,0,0,100,0,,,AICC,2022/07/22 03:00:00+00,2022/07/15 03:00:00+00,2022/07/22 03:00:00+00,U,Type 5 IC,Tatlawiksuk,41 miles south of McGrath,WF,FI,62.321167,-155.2585,,,{7ACE2CCE-8D1A-4D5B-906D-1FEF020AA5D3},,0,1,,1,,0,204183,0,0,,Yukon-Koyukuk,AKMSSC,02290,BLM,AKADD,,BLM,Federal,,,,,,,AK09,DVF,AKSWS,US-AK,,,Timber (Litter and Understory),,14,2022-AKSWS-204183,Approved Decision,ifm,ifm,0,Type 4 Incident,2022/07/08 00:48:12+00,,IRWIN,,2022/07/23 00:11:16+00,2022/06/05 07:58:39+00,{4F7456F3-C68C-4FAE-A22D-09733A90B283},0,,,12.0109061723127,-0.160959991633067
16958,Fourth of July Creek,Wildfire Daily Fire Perimeter,Digitized-Image,51145.5178546765,2022/06/06 19:23:02+00,2022/06/23 03:52:46+00,2022/06/22 23:58:59+00,51145.3066596373,{DADC220B-B7B8-409C-9FD0-5C1771DBCFEE},2022 NIFS,,DEFAULT,51145.4052,,,51146,0.1,AKMSSC,68984,,,,Minimal,,Creeping,Smoldering,Natural,,,PQ4D,,2022/06/06 16:16:04+00,Type 5 Incident,,0,0,0,100,,,AICC,2022/07/22 03:00:00+00,2022/07/15 03:00:00+00,2022/07/22 03:00:00+00,U,Type 5 IC,Fourth of July Creek,Thirty Five Miles West of Mcgrath AK,WF,FI,62.74,-156.6,,,{10F7022C-6CA6-435F-B29C-3FA0FB6EA26C},,0,1,,1,,0,204202,2,0,,Yukon-Koyukuk,AKMSSC,02290,DNR,AKDNS,,State,Other,,,,,,,AK09,DVF,AKSWS,US-AK,,,Timber (Grass and Understory),,18,2022-AKSWS-204202,Approved Decision,ifm,ics209,0,Type 5 Incident,2022/06/12 23:24:12+00,,IRWIN,,2022/07/22 03:14:55+00,2022/06/06 19:22:47+00,{1ABC807A-BAF5-4C32-BB4A-E8435666A6AB},0,,,2.64530186611319,-0.0362666869285901
16960,Kokwok,Wildfire Daily Fire Perimeter,Digitized-Image,31496.510928168,2022/06/13 18:59:11+00,2022/06/23 04:36:54+00,2022/06/22 23:58:59+00,31496.3793178283,{D19BA557-09FF-44B9-84C5-0A8112A617DB},2022 NIFS,,DEFAULT,31496.4483,,,31497,2,AKMSSC,12656,,,,Minimal,,Creeping,Running,Natural,,,,,2022/06/06 17:45:47+00,Type 5 Incident,,0,0,100,0,,,AICC,2022/07/22 03:00:00+00,2022/07/15 03:00:00+00,2022/07/22 03:00:00+00,U,Type 5 IC,Kokwok,43 miles North Of Dillingham AK,WF,FI,59.751233,-158.2251,,,{12CEB25A-655E-4674-8271-EFB02104747D},,0,,,0,,0,204200,0,0,,Dillingham,AKMSSC,02070,DNR,AKDNS,,State,Other,,,,,,,AK10,DVF,AKSWS,US-AK,,,Timber (Grass and Understory),,,2022-AKSWS-204200,No Decision,ifm,ics209,0,,,,IRWIN,,2022/07/22 03:09:58+00,2022/06/07 06:00:47+00,{0063F51B-FDB2-4436-9059-5C85941D8218},0,,,1.79354152012046,-0.0203343569876519
